# Compound_CID,SMILES
23688977,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CN3C=NN=N3)C(=O)[O-])CSC4=NN=CS4.[Na+]
9807169,C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=N\O[C@@H](C3=CC(=C(C=C3)O)O)C(=O)O)/C4=CSC(=N4)N)C(=O)O
175647,CC(OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)CC3=CSC(=N3)N)CSC4=NN=NN4CCN(C)C)OC(=O)OC5CCCCC5.Cl.Cl
23663968,CCN1CCN(C(=O)C1=O)C(=O)N[C@H]([C@H](C)O)C(=O)N[C@]2([C@@H]3N(C2=O)C(=C(CS3)CSC4=NN=NN4C)C(=O)[O-])OC.[Na+]
23663126,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)[O-])C.[Na+]
23663974,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)[O-].[Na+]
23667630,CCOC1=C(C2=CC=CC=C2C=C1)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+]
23675320,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+]
23675322,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+]
23682190,CCC(C(=O)N[C@H]1[C@@H]2N(C1=O)[C@H](C(S2)(C)C)C(=O)[O-])OC3=CC=CC=C3.[K+]
23702658,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CSC(F)(F)F)SC2)C(=O)[O-].[Na+]
5282438,CC/C=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)OCOC(=O)C(C)(C)C
20933,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)[O-])C(=O)[O-])C.[Na+].[Na+]
19150,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O
71724,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CCC[C@H](C(=O)O)N)C(=O)O)C
6400678,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)C(=O)O)SCSC4=NNN=C4
71107,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)OC4=CC=CC=C4)C(=O)O)C
72015,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)S[C@H]3CCN(C3)C(=N)C)O
71446,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)OC4C5=CC=CC=C5C(=O)O4)C.Cl
73246,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O.O
73302,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@@H]3CC(=O)NC3)C(=O)O)[C@@H](C)O
94316,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl
92894,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3=NC4=CC=CC=C4N=C3C(=O)O)C(=O)O)C
76972700,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)[S@@](=O)C1)C(=O)O
76970981,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N3C(=O)[C@H](NC3(C)C)C4=CC=CC=C4)C(=O)OCOC)C
47896,CN(C)CCN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O.Cl.Cl
53024,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)[O-])S4)OC)SC2)C(=O)[O-].[Na+].[Na+]
55324,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@H](C3=CC=CC=C3)NC(=O)C4=C(NC=N4)C(=O)O)C(=O)[O-])C[N+]5=CC=C(C=C5)CCS(=O)(=O)[O-].[Na+]
65476,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O.O.O
65633,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)COC(=O)N)C(=O)O)O
40240,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CSC(F)(F)F)SC2)C(=O)O
166592,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O.O.O
64706,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O.CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2
65622,CC1=C(N(N=C1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
65646,CC1=C(OC(=O)O1)COC(=O)[C@H]2C(S[C@H]3N2C(=O)[C@H]3NC(=O)[C@@H](C4=CC=CC=C4)N)(C)C
68692,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=C(C=C3)C4=NCCCN4)SC1)C(=O)O
68940,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CC=C3)SC1)C(=O)O
68757,CCN(CC)CCOC(=O)[C@H]1C(S[C@H]2N1C(=O)[C@H]2NC(=O)C3=C(C=CC=C3OC)OC)(C)C
65798,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)COC(=O)C)C(=O)O
65894,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)[C@H]3CCCO3)C(=O)O)O
104838,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O
72941602,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)[O-])/C3=CSC(=N3)N)SC1)C(=O)[O-].[Na+].[Na+]
6918218,CC1=C(OC(=O)O1)COC(=O)C2=C(S[C@H]3N2C(=O)[C@@H]3[C@@H](C)O)[C@H]4CCCO4
15232,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2
19003,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C
23565,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C.O.O.O
21743,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N
22502,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.O
5361202,CO/N=C(\C1=CC=CO1)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O
179697,CC1=C(OC(=O)O1)COC(=O)C2=C(CS[C@H]3N2C(=O)[C@H]3NC(=O)[C@@H](C4=CC=CC=C4)OC(=O)[C@H](C)N)CSC5=NN=C(S5)C
6918217,C[C@H]([C@@H]1[C@H]2[C@H]3CCC[C@@H](C3=C(N2C1=O)C(=O)OC(C)OC(=O)OC4CCCCC4)OC)O
165411819,[H+].CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)[O-])C(=O)[O-])C.[K+]
54686187,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCN(CC5)CCO)N(C)C)O.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C
71463603,C1CNC(=O)C1O/N=C(\C2=CN=C(S2)N)/C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)C[N+]5=CC=CC=C5)C(=O)[O-]
9577261,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCCC5)C(=O)[O-].OS(=O)(=O)O
9950244,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)S[C@H]3CC[S@@](=O)C3)C(=O)O)O
49785800,CCC(CC)C(=O)OCOC(=O)C1=C(S[C@H]2N1C(=O)[C@@H]2[C@@H](C)O)S[C@H]3CCS(=O)C3
23669766,C[C@H]([C@@H]1[C@H]2[C@H]3CCC[C@@H](C3=C(N2C1=O)C(=O)[O-])OC)O.[Na+]
20055543,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C.C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O
41375,CON=C(C1=CC=CO1)C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O
71452,C[C@H]([C@@H]1[C@H]2[C@H]3CCC[C@@H](C3=C(N2C1=O)C(=O)O)OC)O
6321417,CC(OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N\OC)/C3=CC=CO3)COC(=O)N)OC(=O)C(C)(C)OC
5748832,CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3=O)CSC4=CC=[N+](C=C4)C)C(=O)O
10413379,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](C4=CC=C(C=C4)O)N)SC2)C(=O)O
5282241,C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=C\CC(=O)O)/C3=CSC(=N3)N)C(=O)O.O.O
9589472,CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3=O)CSC4=CC=[N+](C=C4)C)C(=O)O.[Cl-]
9571079,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)NC(=O)N4CCN(C4=O)/N=C/C5=CC=CO5)C(=O)O)C
2659,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O
6914282,CO/N=C(\C1=CC=CO1)/C(=O)N[C@H]2[C@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O
23663948,C[C@H]1[C@@H](C(=O)N1OCC(=O)[O-])NC(=O)/C(=N\OC)/C2=CSC(=N2)N.[Na+]
6918095,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)S[C@H]3CCS(=O)C3)C(=O)O)O
10248346,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CSC3=CC=CC=C3)C(=O)O)C
77843966,CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4(CCCC4)CCNC(=O)C5=C(C(=C(C=C5)O)O)Cl)C(=O)[O-]
6328646,CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)NC2CN(C2=O)C(=O)NS(=O)(=O)N3CCN(C3=O)NC(=O)C4=CC(=O)C(=CN4)O
5492073,C[C@H]1[C@@H](C(=O)N1OCC(=O)OCC(=O)OC(C)(C)C)NC(=O)/C(=N\OC)/C2=CSC(=N2)N
20055356,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N=CC4=CC=CO4)C(=O)O)C
23671017,CC1=CC=C(C=C1)OC(=O)[C@H](C2=CSC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+]
23674237,CC[C@@H](C(=O)N[C@H]1[C@@H]2N(C1=O)[C@H](C(S2)(C)C)C(=O)[O-])OC3=CC=CC=C3.[K+]
23678597,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N3C(=O)[C@H](NC3(C)C)C4=CC=CC=C4)C(=O)[O-])C.[K+]
67173987,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O.CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O.O
9887643,C/C=C\C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O.O
73415792,CCO/N=C(/C1=NSC(=N1)NP(=O)(O)[O-])\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)O.CC(=O)O.O
9571078,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CC=CO3)SC1)C(=O)O
23690298,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)[C@@H]4CCCO4)C(=O)[O-].[Na+]
56841981,CCO/N=C(/C1=NSC(=N1)NP(=O)(O)O)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)O.CC(=O)[O-].O
9979762,CC(C)C[C@H](C(=O)N[C@H]1[C@@H]2N(C1=O)[C@H](C(S2)(C)C)C(=O)O)OC(=O)C3=CC=CO3
10053104,C1CNC(=O)C1O/N=C(/C2=CN=C(S2)N)\C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)C[N+]5=CC=CC=C5)C(=O)[O-]
6410757,CC(CO)O.C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4
76972732,[H+].C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@H](C3=CC=CC=C3)NC(=O)C4=C(NC=N4)C(=O)[O-])C(=O)[O-])C[N+]5=CC=C(C=C5)CCS(=O)(=O)[O-].[Na+]
9690120,CO/N=C(/C1=NSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=C5C=CC=NN5C=C4)C(=O)[O-].Cl
135804001,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)[O-])NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=[NH+]2)N.C(CCN)C[C@@H](C(=O)O)N
3038477,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C)(C)OC3=CC=CC=C3)C(=O)O)C
216265,CC(C)C(=O)OCC1=CC(=CC=C1)OC(=O)[C@H]2C(S[C@H]3N2C(=O)[C@H]3NC(=O)CC4=CC=CC=C4)(C)C
3058737,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)CC4=CC=C(C=C4)C5=NCCCN5)C(=O)O)C
10001337,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N3C(=O)[C@H](NC3(C)C)C4=CC=C(C=C4)O)C(=O)O)C
10318432,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C34CC5CC(C3)CC(C5)(C4)N)C(=O)O)C
23724984,CC(C)C1=CC2=C(C=C1)[C@]3(CCC[C@@]([C@@H]3CC2)(C)CNCCNC[C@@]4(CCC[C@]5([C@H]4CCC6=C5C=CC(=C6)C(C)C)C)C)C.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C
3047855,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)NC(=O)NC4=CN=C(NC4=O)NC5=CC=C(C=C5)S(=O)(=O)N)C(=O)O)C
118379834,C1CC1(C(=O)O)O/N=C(/C2=CSC(=N2)N)\C(=O)N[C@H]3[C@H](N(C3=O)S(=O)(=O)O)CN4CCOC4=O
11204019,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=N2)N.C(CCN)C[C@@H](C(=O)O)N
172994,CC[C@@H](C(=O)N[C@H]1[C@@H]2N(C1=O)[C@H](C(S2)(C)C)C(=O)O)OC3=CC=CC=C3
23663957,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)C4=CNC5=C(C4=O)N=CC=C5)C(=O)[O-])C.[Na+]
23725047,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CSC3=CC=CC=C3)C(=O)[O-])C.[K+]
70687278,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)[O-])C.[K+]
23642298,CCC(CC)C(=O)OCOC(=O)C1=C(S[C@H]2N1C(=O)[C@@H]2[C@@H](C)O)S[C@H]3CC[S@@](=O)C3
23672568,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](C4=CC=CC=C4)O)SC2)C(=O)[O-].[Na+]
71365,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CSCC=C)C(=O)O)C
71845,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.C1C(NCC(N1)C2=CC=CC=C2)C3=CC=CC=C3
71978,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)NC(=O)C4=CC=C(NC4=O)C5=CC=C(C=C5)S(=O)(=O)N(CCO)CCO)C(=O)O)C
6443795,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CS/C=C\C#N)SC2)C(=O)O
76966299,[H+].CC(C)(C(=O)[O-])O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-].Cl.Cl
68683,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)C(C)(C)OC4=CC=C(C=C4)Cl)C(=O)O)C
21124775,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O.O
167441,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)O.CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)O.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2
193956,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CS3)C(=O)O)CSC4=NC=NN4
193953,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC(=C(C=C3)O)Cl)N)SC1)C(=O)O
